/home/daniel/Projects/faces-rec/log/detector/log_1403999440.txt
/home/daniel/Projects/faces-rec/log/detector/error_1403999440.txt
/home/daniel/Projects/faces-rec/log/detector/debug_1403999440.txt
/home/daniel/Projects/faces-rec/log/detector/feat_anal_1403999440.txt
Detection started for: /home/daniel/Projects/faces-rec/classifiers/states/classifier_1677_17_170

NEW SUBWINDOW
IS FACE CASCADE
HYPOTHESIS 10
1.50000 SW:(0, 0) ORIGINAL: (1, 1) FINAL: (1, 1) MASK_SIZE: (30, 30)  FILTER 17
1.50000 SW:(0, 0) ORIGINAL: (1, 5) FINAL: (1, 7) MASK_SIZE: (15, 24)  FILTER 280
1.50000 SW:(0, 0) ORIGINAL: (4, 15) FINAL: (6, 22) MASK_SIZE: (9, 12)  FILTER 2842
1.50000 SW:(0, 0) ORIGINAL: (12, 18) FINAL: (18, 27) MASK_SIZE: (9, 9)  FILTER 2187
1.50000 SW:(0, 0) ORIGINAL: (3, 2) FINAL: (4, 3) MASK_SIZE: (9, 10)  FILTER 45
1.50000 SW:(0, 0) ORIGINAL: (9, 4) FINAL: (13, 6) MASK_SIZE: (21, 21)  FILTER 245
1.50000 SW:(0, 0) ORIGINAL: (13, 7) FINAL: (19, 10) MASK_SIZE: (9, 9)  FILTER 237
1.50000 SW:(0, 0) ORIGINAL: (1, 12) FINAL: (1, 18) MASK_SIZE: (33, 12)  FILTER 2828
1.50000 SW:(0, 0) ORIGINAL: (0, 7) FINAL: (0, 10) MASK_SIZE: (13, 16)  FILTER 3770
1.50000 SW:(0, 0) ORIGINAL: (5, 2) FINAL: (7, 3) MASK_SIZE: (10, 27)  FILTER 0
1.50000 SW:(0, 0) ORIGINAL: (5, 6) FINAL: (7, 9) MASK_SIZE: (15, 27)  FILTER 6362
1.50000 SW:(0, 0) ORIGINAL: (0, 0) FINAL: (0, 0) MASK_SIZE: (9, 13)  FILTER 8424
1.50000 SW:(0, 0) ORIGINAL: (0, 6) FINAL: (0, 9) MASK_SIZE: (15, 10)  FILTER 33
1.50000 SW:(0, 0) ORIGINAL: (3, 0) FINAL: (4, 0) MASK_SIZE: (30, 34)  FILTER 20
1.50000 SW:(0, 0) ORIGINAL: (10, 2) FINAL: (15, 3) MASK_SIZE: (16, 10)  FILTER 0
1.50000 SW:(0, 0) ORIGINAL: (8, 0) FINAL: (12, 0) MASK_SIZE: (22, 33)  FILTER 6006
HYPOTHESIS 12
1.50000 SW:(0, 0) ORIGINAL: (5, 2) FINAL: (7, 3) MASK_SIZE: (9, 12)  FILTER 2803
1.50000 SW:(0, 0) ORIGINAL: (0, 1) FINAL: (0, 1) MASK_SIZE: (33, 9)  FILTER 2099
1.50000 SW:(0, 0) ORIGINAL: (16, 1) FINAL: (24, 1) MASK_SIZE: (12, 9)  FILTER 2820
1.50000 SW:(0, 0) ORIGINAL: (1, 12) FINAL: (1, 18) MASK_SIZE: (10, 13)  FILTER 2435
1.50000 SW:(0, 0) ORIGINAL: (4, 11) FINAL: (6, 16) MASK_SIZE: (9, 19)  FILTER 4488
1.50000 SW:(0, 0) ORIGINAL: (16, 14) FINAL: (24, 21) MASK_SIZE: (9, 9)  FILTER 237
1.50000 SW:(0, 0) ORIGINAL: (0, 4) FINAL: (0, 6) MASK_SIZE: (27, 27)  FILTER 6388
1.50000 SW:(0, 0) ORIGINAL: (8, 15) FINAL: (12, 22) MASK_SIZE: (19, 9)  FILTER 2124
1.50000 SW:(0, 0) ORIGINAL: (13, 1) FINAL: (19, 1) MASK_SIZE: (9, 9)  FILTER 235
1.50000 SW:(0, 0) ORIGINAL: (8, 12) FINAL: (12, 18) MASK_SIZE: (10, 10)  FILTER 0
1.50000 SW:(0, 0) ORIGINAL: (10, 5) FINAL: (15, 7) MASK_SIZE: (16, 9)  FILTER 0
1.50000 SW:(0, 0) ORIGINAL: (6, 3) FINAL: (9, 4) MASK_SIZE: (19, 12)  FILTER 2804
HYPOTHESIS 18
1.50000 SW:(0, 0) ORIGINAL: (17, 5) FINAL: (25, 7) MASK_SIZE: (10, 13)  FILTER 9386
1.50000 SW:(0, 0) ORIGINAL: (3, 12) FINAL: (4, 18) MASK_SIZE: (22, 15)  FILTER 5496
1.50000 SW:(0, 0) ORIGINAL: (9, 14) FINAL: (13, 21) MASK_SIZE: (15, 12)  FILTER 2835
1.50000 SW:(0, 0) ORIGINAL: (18, 14) FINAL: (27, 21) MASK_SIZE: (9, 10)  FILTER 2335
1.50000 SW:(0, 0) ORIGINAL: (6, 2) FINAL: (9, 3) MASK_SIZE: (24, 30)  FILTER 13
1.50000 SW:(0, 0) ORIGINAL: (0, 3) FINAL: (0, 4) MASK_SIZE: (25, 15)  FILTER 6013
1.50000 SW:(0, 0) ORIGINAL: (3, 10) FINAL: (4, 15) MASK_SIZE: (12, 19)  FILTER 8
1.50000 SW:(0, 0) ORIGINAL: (10, 7) FINAL: (15, 10) MASK_SIZE: (16, 16)  FILTER 0
1.50000 SW:(0, 0) ORIGINAL: (0, 7) FINAL: (0, 10) MASK_SIZE: (28, 10)  FILTER 96
